created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-28T18:02:13Z,1597365274025623600,1597365274025623553,"The ninth expansion for World of Warcraft is now live.

#Dragonflight https://t.co/dpqLHyi85c",FALSE,69,,,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,825,5490,FALSE,FALSE,FALSE,en,NA,NA,,"The ninth expansion for World of Warcraft is now live.

#Dragonflight https://t.co/dpqLHyi85c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-28T17:30:41Z,1597357339526729700,1597357339526729731,"Docks and Towers are filling up! Let's see your launch gathering! 

#Dragonflight https://t.co/4ys9fdckvT",FALSE,81,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,300,3855,FALSE,FALSE,FALSE,en,NA,NA,,"Docks and Towers are filling up! Let's see your launch gathering! 

#Dragonflight https://t.co/4ys9fdckvT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-29T06:01:12Z,1597546213771022300,1597546213771022336,"The legend is back! Doubleagent started leveling the Neutral Pandaren in Dragonflight and is now at Level 61.

https://t.co/Zf8WJPPoOB

#Warcraft #Dragonflight https://t.co/c4wWNmv4lK",FALSE,159,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,89,1207,FALSE,FALSE,FALSE,en,NA,NA,,"The legend is back! Doubleagent started leveling the Neutral Pandaren in Dragonflight and is now at Level 61.

https://t.co/Zf8WJPPoOB

#Warcraft #Dragonflight https://t.co/c4wWNmv4lK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:07:09Z,1598015794319069200,1598015794319069185,"I mean it's only fair, right?
#worldofwarcraft #Dragonflight #blizzardentertainment #Streaming https://t.co/Vcd10S8XON",FALSE,94,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"I mean it's only fair, right?
#worldofwarcraft #Dragonflight #blizzardentertainment #Streaming https://t.co/Vcd10S8XON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:03:49Z,1598014952807202800,1598014952807202826,Back live on https://t.co/7lHNT6ZWxT with some more #Warcraft #WoW #Dragonflight.  Working on level 70 rep + gear grind stuff.  Drops still enabled for Fel Drake!,FALSE,162,,,"<a href=""https://streamlabs.com"" rel=""nofollow"">Streamlabs Twitter</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,FALSE,en,NA,NA,,Back live on https://t.co/7lHNT6ZWxT with some more #Warcraft #WoW #Dragonflight.  Working on level 70 rep + gear grind stuff.  Drops still enabled for Fel Drake!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:02:08Z,1598014529023406e3,1598014529023406080,Me discovering that dragon-riding and WQs are account wide #Dragonflight https://t.co/m8O7UReJSa,FALSE,72,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,Me discovering that dragon-riding and WQs are account wide #Dragonflight https://t.co/m8O7UReJSa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:01:46Z,1598014440229965800,1598014440229965826,"BONUS Wednesday stream cuz I can't get enough of #Dragonflight 

Let's get 70 today and start gearing!

Also: I got something supercool to show you so come check it out!

https://t.co/fygAG4EstB",FALSE,194,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"BONUS Wednesday stream cuz I can't get enough of #Dragonflight 

Let's get 70 today and start gearing!

Also: I got something supercool to show you so come check it out!

https://t.co/fygAG4EstB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:01:29Z,1598014367681106e3,1598014367681105922,"🔴 LIVE ON TWITCH !!
We venture further down in World of Warcraft : Dragonflight!
Tune in!
#worldofwarcraft #dragonflight #wow #twitch
👇🏽👇🏽👇🏽
https://t.co/XGh7Ka6bgf https://t.co/vliWdeqVOe",FALSE,164,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,2,FALSE,FALSE,FALSE,en,NA,NA,,"🔴 LIVE ON TWITCH !!
We venture further down in World of Warcraft : Dragonflight!
Tune in!
#worldofwarcraft #dragonflight #wow #twitch
👇🏽👇🏽👇🏽
https://t.co/XGh7Ka6bgf https://t.co/vliWdeqVOe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:01:20Z,1598014327860080600,1598014327860080640,Untested... but spread the Info. #Dragonflight https://t.co/tAghqo4GMH,FALSE,46,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,1,FALSE,FALSE,FALSE,en,1597833586949791700,1597833586949791744,,Untested... but spread the Info. #Dragonflight https://t.co/tAghqo4GMH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:01:03Z,1598014257328636e3,1598014257328635904,"A surprise, to be sure, but a welcome one! #wow #warcraft #worldofwarcraft #Dragonflight https://t.co/fnWfblCUjL",FALSE,88,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"A surprise, to be sure, but a welcome one! #wow #warcraft #worldofwarcraft #Dragonflight https://t.co/fnWfblCUjL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:00:22Z,1598014086821781500,1598014086821781505,By far the hardest quest in #Dragonflight so far 😂😂😂 https://t.co/rnoFTzze9j,FALSE,52,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,By far the hardest quest in #Dragonflight so far 😂😂😂 https://t.co/rnoFTzze9j,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T13:00:00Z,1598013994832363500,1598013994832363551,"How it feels to play Goblin
#WorldOfWarcraft #Dragonflight #WOW https://t.co/QjQDYzmGay",FALSE,63,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,2,FALSE,FALSE,FALSE,en,NA,NA,,"How it feels to play Goblin
#WorldOfWarcraft #Dragonflight #WOW https://t.co/QjQDYzmGay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:59:30Z,1598013866533089300,1598013866533089281,"Hi there, 
first post on twitter👋😁

I made a fanart of Alexstrasza to welcome the launch of the new WoW expansion🐉

#dragonflight #wow #worldofwarcraft #warcraftdragonflight #comission https://t.co/soVIUVZM8h",FALSE,184,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Hi there, 
first post on twitter👋😁

I made a fanart of Alexstrasza to welcome the launch of the new WoW expansion🐉

#dragonflight #wow #worldofwarcraft #warcraftdragonflight #comission https://t.co/soVIUVZM8h",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:58:13Z,1598013545290997800,1598013545290997760,"It's almost disheartening to see people just RIPPING through #Dragonflight already. I'm 70, but I've only finished 2 1/2 zones. I am trying so hard to just take my time and LIVE in this new place. My guildies are already talking Mythics...just give yourself time to BREATH...",FALSE,275,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,"It's almost disheartening to see people just RIPPING through #Dragonflight already. I'm 70, but I've only finished 2 1/2 zones. I am trying so hard to just take my time and LIVE in this new place. My guildies are already talking Mythics...just give yourself time to BREATH...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:58:06Z,1598013514492543e3,1598013514492542976,"I actually completely love the #Dragonflight expansion so far. Talents are fun, dungeons feel great, zone is beautiful, and professions are in depth. Having a lot of fun so far.",FALSE,177,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,"I actually completely love the #Dragonflight expansion so far. Talents are fun, dungeons feel great, zone is beautiful, and professions are in depth. Having a lot of fun so far.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:57:44Z,1598013425120346e3,1598013425120346114,"The World of Warcraft team has gone above and beyond this expansion. You can feel the passion and love that went into every bit of detail.

This win is deserved and I am very much hope this is the standard that we’ll be used to moving forward.

#warcraft #Dragonflight https://t.co/5Mnln8WJEj",FALSE,268,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,1,FALSE,FALSE,FALSE,en,1598007046410211300,1598007046410211330,,"The World of Warcraft team has gone above and beyond this expansion. You can feel the passion and love that went into every bit of detail.

This win is deserved and I am very much hope this is the standard that we’ll be used to moving forward.

#warcraft #Dragonflight https://t.co/5Mnln8WJEj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:57:14Z,1598013297126957e3,1598013297126957056,"I KNOOOOW go away D:
it just won't go away :(

#warcraft #dragonflight https://t.co/GKTQrGnuIG",FALSE,70,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,FALSE,en,NA,NA,,"I KNOOOOW go away D:
it just won't go away :(

#warcraft #dragonflight https://t.co/GKTQrGnuIG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:57:02Z,1598013248116510700,1598013248116510722,"Randomly mining and suddenly found this spot with a view and life just hit me

#Dragonflight https://t.co/E2Ew1Lz3wr",FALSE,92,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,FALSE,en,NA,NA,,"Randomly mining and suddenly found this spot with a view and life just hit me

#Dragonflight https://t.co/E2Ew1Lz3wr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:56:30Z,1598013111549579300,1598013111549579265,having a blast just collecting these dragonriding glyphs before continuing the leveling process #Dragonflight,FALSE,109,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,having a blast just collecting these dragonriding glyphs before continuing the leveling process #Dragonflight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:55:56Z,1598012970209927200,1598012970209927168,"Let’s not forget about this Beauty, wish she was here. #Dragonflight https://t.co/MLVOGjIOXV",FALSE,68,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Let’s not forget about this Beauty, wish she was here. #Dragonflight https://t.co/MLVOGjIOXV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:55:55Z,1598012966850265e3,1598012966850265088,#Dragonflight dump https://t.co/pA3jMrAleK,FALSE,18,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,#Dragonflight dump https://t.co/pA3jMrAleK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:54:41Z,1598012656845475800,1598012656845475841,OMG I love snowy zones! They're so pretty!! #Warcraft #Dragonflight https://t.co/qNuqoqxOmB,FALSE,67,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,OMG I love snowy zones! They're so pretty!! #Warcraft #Dragonflight https://t.co/qNuqoqxOmB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:53:30Z,1598012356747210800,1598012356747210753,First @Warcraft expansion I’ve not played on launch. Exciting seeing all different streams and opinions from people. Hopefully when I jump in around Christmas they’ll still be the hype there is for it this week. #Warcraft #Dragonflight,FALSE,235,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,First @Warcraft expansion I’ve not played on launch. Exciting seeing all different streams and opinions from people. Hopefully when I jump in around Christmas they’ll still be the hype there is for it this week. #Warcraft #Dragonflight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:52:54Z,1598012205970358300,1598012205970358273,My Dracthyr Character 😍🐲 #Dragonflight #worldofwarcraft https://t.co/wkHhiaFW3h,FALSE,55,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,My Dracthyr Character 😍🐲 #Dragonflight #worldofwarcraft https://t.co/wkHhiaFW3h,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:51:56Z,1598011964118405e3,1598011964118405121,"What if we took an expansion and let Tumblr write it?

#Dragonflight",FALSE,68,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,"What if we took an expansion and let Tumblr write it?

#Dragonflight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
